company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
Microsoft,M74045,2014-02-07,2014-01-31,16592.3,Harry Wyman,Inventore repudiandae et nobis excepturi eius ipsum.,other,internal;delegation
 Comcast,C47986,11/08/2013,11/07/2013,19471.26,Ms. Tyson Connelly,Expedita cumque consequatur.,rejected,internal;delegation;client;Important;Other
 Company X,C63091,03/21/2014,03/18/2014,14098.6,Armando Mayert II,"Fugiat eveniet necessitatibus labore.
Consequatur iusto quia soluta incidunt.
Expedita voluptas sequi ullam quia minus cupiditate.",accepted,""
SB Komputery,S84088,11-10-2012,03-10-2012,19247.42,Elissa Wolf,"Perferendis inventore consequatur neque dolorem blanditiis nulla ullam.
Ducimus et nesciunt voluptas quo dolorem impedit illo.",accepted,Important;client;Internal;other
SB Komputery,S31353,11-05-2015,11-05-2015,14796.76,Isabella Bruen,"Laboriosam et sit quos dignissimos ex cupiditate.
Consequatur quisquam autem mollitia quibusdam in omnis.",accepted,important;client;negligible;other;delegation
Wesoła Gżegżółka,W7710,2013-10-30,2013-10-22,11726.66,Sylvan Pfannerstill,Dignissimos in dolor sed sint voluptatem sit.,accepted,Internal;negligible;Client;other;Important
BP Biznes,B11162,2013-05-03,2013-05-03,10583.13,Johnpaul Braun V,Nesciunt ut omnis eveniet expedita adipisci esse temporibus.,rejected,important;other;negligible
BP Biznes,B45470,2013-05-27,2013-05-24,10733.36,Otha Bergstrom,Recusandae qui quia ipsa.,rejected,other;Client;Internal
 Microsoft,M33964,10/21/2012,10/12/2012,13902.1,Myrna Emmerich,Eum ea quos sit ea.,rejected,delegation;other;negligible;Important
BP Biznes,B36288,2014-04-05,2014-03-29,18218.86,Eudora Bailey,"Id aut quaerat odio maiores qui.
Provident molestiae nihil aut molestiae.",other,other;negligible
 ACME,A51763,08-11-2013,06-11-2013,16923.44,Cleve Koepp,Et pariatur neque omnis saepe ipsam repudiandae nobis.,rejected,internal;negligible;important
ACME,A42451,2013-11-12,2013-11-03,10084.27,Braden Koch,Unde dolorem voluptatem quia laboriosam ab.,accepted,Important;delegation;negligible;Other
 ACME,A30516,2014-06-19,2014-06-19,10855.66,Dimitri Torphy,Et autem temporibus recusandae facere odit mollitia officia.,other,delegation
KT Koty,K7423,24-05-2013,20-05-2013,17291.77,Oceane Cormier,Porro itaque assumenda et.,accepted,important;Delegation;Other;negligible;client
ACME,A5381,2013-09-02,2013-08-30,11437.57,Ms. Ethel Connelly,Dolores asperiores quis minima.,accepted,important;other;internal
Wesoła Gżegżółka,W89111,2012-12-29,2012-12-27,15290.82,Barrett Auer Sr.,"Cupiditate eum nam repellat.
Ut voluptate enim tenetur beatae sint et.",rejected,important;client;delegation;negligible;internal
 TT Internet,T50578,2014-01-31,2014-01-31,18508.93,Trinity Stanton,Quas modi earum aliquid sequi.,rejected,""
MS Szpadel,M93002,11/20/2012,11/13/2012,17563.2,Dr. Foster Pacocha,Iste qui natus.,other,client;Internal;delegation
 MS Szpadel,M87835,15-02-2014,13-02-2014,15372.89,Evalyn Stark,"Velit qui et et placeat inventore.
Voluptatem omnis nemo.",accepted,internal;Important;client;negligible;delegation
 TT Internet,T26798,09/18/2012,09/11/2012,17782.30,Elmer Cassin,"Illo ratione saepe.
Fuga veritatis dolorum.
Facilis et dignissimos.",other,""
 Microsoft,M16041,17-10-2012,17-10-2012,12246.22,Kali Kozey,Sed expedita aut.,accepted,negligible;important
KT Koty,K97131,03-05-2015,01-05-2015,12258.5,Shane Grimes,Ipsa voluptas laborum eos et et veniam.,other,negligible
"Monterail, Inc.",M67813,09/04/2012,08/28/2012,14760.99,Lavada Wunsch,Consequatur ea aperiam et quae beatae dolores illo.,accepted,""
Comcast,C33057,2015-02-07,2015-01-29,11284.96,Mr. Rahul Deckow,Et nobis voluptatem natus.,other,important;Negligible
KT Koty,K56901,04/06/2015,03/29/2015,19601.69,Dana Crist,Aperiam rem sit earum corrupti.,accepted,delegation
 Comcast,C28072,06/29/2013,06/23/2013,12672.93,Jamar Kertzmann,Consequuntur voluptatem aut eum vero quam vel.,rejected,Internal;important
KT Koty,K546,03/14/2015,03/14/2015,14403.8,Jacklyn Pollich,Est hic quaerat.,other,internal
 SB Komputery,S16566,08/21/2014,08/20/2014,16015.73,Domingo Aufderhar,"Molestiae molestias tempore assumenda quidem.
Nostrum sint neque aliquam accusamus eum.",other,client;other;Negligible
ACME,A22120,2014-09-16,2014-09-11,18037.71,Jamie Bernier Jr.,"Vitae necessitatibus nulla ut vel et.
Impedit vel et.
Architecto et aperiam.",other,Delegation;important;Client;Negligible;other
 Company X,C86256,26-01-2013,17-01-2013,14543.31,Enola Bergstrom,Molestias et vel tenetur et corporis dignissimos.,other,Delegation;Internal;client
Microsoft,M31457,07/05/2013,07/02/2013,11671.7,Odie Keebler Sr.,Pariatur rerum dicta rem quos ut in accusamus.,other,delegation
MS Szpadel,M59914,2013-05-14,2013-05-11,10704.29,Mr. Caleigh Cremin,Illum eaque est magni repellendus.,accepted,Important;client;internal
 MS Szpadel,M86036,2013-05-02,2013-04-26,17588.75,Yazmin D'Amore,Iste enim odit deleniti ad aut.,accepted,client;important;other;internal;negligible
Big Company 1,B50092,,05-01-2015,15211.45,Rahul Goldner DDS,"Sit fuga quos aliquam dolor quidem.
Assumenda corporis impedit velit et deleniti ratione cumque.
Rerum facere ratione.",other,other;Delegation;negligible;client;internal
 TT Internet,T79203,15-08-2014,15-08-2014,19086.37,Dr. Jeramy Wilderman,Culpa earum doloremque.,accepted,important;other;Internal;delegation;client
Big Company 1,B61652,09/03/2014,09/01/2014,17899.95,Camila Walsh,"Odio neque hic nostrum omnis et ullam deserunt.
Et vel necessitatibus soluta ratione fugiat velit molestiae.
Et accusamus rerum dolor sit.
Aspernatur quod quis et natus cum non.",other,other;delegation;Client;Internal;negligible
 MS Szpadel,M36481,28-10-2013,21-10-2013,10273.61,Buddy Lynch,Assumenda nisi sequi facilis alias ex minus praesentium.,accepted,internal;Other;Client
" Monterail, Inc.",M47541,2015-05-05,2015-04-29,16056.43,Emily Simonis,"Rerum ipsa ut corrupti molestiae natus eius illo.
Iusto quia quos nobis distinctio magnam eveniet error.
Rerum nulla qui molestias ad quisquam veniam.
Expedita maxime facere tempora minus nostrum rerum.",rejected,negligible;Other;important;Delegation;client
Company X,C30234,2013-10-09,2013-10-05,18365.87,Wayne Kerluke,Cumque suscipit qui voluptatem enim voluptatem.,other,internal;Other;important
 Ostrzy Entertainment,O80676,2014-09-09,2014-09-03,16290.76,Xander O'Reilly,Illo optio qui.,accepted,Negligible
 SB Komputery,S92360,07-10-2012,05-10-2012,10189.35,Vincent Kuphal,"Laudantium illo iure ut et.
Minus ut occaecati praesentium.",rejected,other;important;client;internal;negligible
 BP Biznes,B21884,30-07-2014,27-07-2014,10071.4,Carley Gleason,"Possimus minus eaque laudantium a.
Aut harum itaque molestiae enim consequatur amet.",other,""
"Monterail, Inc.",M94102,21-12-2014,19-12-2014,12034.15,Cindy Volkman,"Totam dicta id at qui et.
Nobis vero molestiae ut in et earum.
Quae sed voluptatum et alias minima.
Esse aut enim suscipit voluptatem aperiam modi.",other,other;important;internal;negligible;client
 Wesoła Gżegżółka,W16964,2013-10-31,2013-10-25,10826.93,Selmer Bednar PhD,Libero rerum quia incidunt.,rejected,delegation;important;other
Company X,C87059,17-06-2014,14-06-2014,13318.1,Dayana Flatley,"Porro qui eveniet.
Pariatur veritatis provident porro quia.
Eos illo rerum corrupti ut voluptas.",rejected,internal;negligible;client;other;delegation
BP Biznes,B871,05-04-2014,31-03-2014,16759.99,Domenic Emard,Excepturi aspernatur aut magni doloribus.,other,Important;internal;client
 Microsoft,M84539,01-04-2014,27-03-2014,14955.61,Alfonzo Brown,Aliquam quo deleniti.,rejected,internal;client
 Comcast,C33643,11/28/2013,11/26/2013,12136.17,Edmond Gutkowski,Dolores debitis laboriosam et ratione reiciendis consequatur est.,other,important;client;Other
Comcast,C86958,09/24/2012,09/17/2012,18302.76,Taurean Gleason,Similique sint odio sed assumenda possimus voluptatem architecto.,other,delegation;Important
" Monterail, Inc.",M38363,02/16/2015,02/07/2015,10471.42,Gussie Boehm,"Neque odio accusantium quia.
Repellat nulla et recusandae voluptatem sapiente.
Quae molestias placeat consectetur velit nihil explicabo nihil.",accepted,""
" Monterail, Inc.",M79311,2014-07-10,2014-07-06,17841.35,Dr. Myles Hoeger,Similique quisquam dolor dolor harum non natus.,accepted,""
SB Komputery,S61965,27-12-2014,19-12-2014,17977.85,Rex Rau,Illum laboriosam itaque explicabo tempora doloremque debitis.,accepted,delegation;Important;client;Internal
 SB Komputery,S41237,11-09-2013,02-09-2013,11817.77,Lauriane Miller,Dolorem minima laudantium omnis.,rejected,delegation;Negligible;client;internal;important
 ACME,A94039,2013-01-15,2013-01-14,16099.14,Alivia Moore,"Voluptas quos sit placeat saepe.
Aut rem iste vel.",rejected,Important;negligible
KT Koty,K13490,29-09-2014,26-09-2014,13279.4,Penelope Prosacco IV,Iste expedita ea id magnam deleniti.,other,negligible;delegation;Internal;important;other
 MS Szpadel,M55511,2014-07-25,2014-07-17,11950.64,Araceli Labadie,Architecto corrupti ducimus ipsam inventore ut est.,rejected,other
 Comcast,C70925,30-01-2013,29-01-2013,12030.4,Kiel Daugherty,Asperiores expedita et soluta eum aliquam tempore labore.,other,important;delegation;client;Negligible;other
 ACME,A12304,2013-10-27,2013-10-25,18186.67,Kristoffer Kihn,"Omnis rerum sapiente non est.
Quos dolorem vel nesciunt ratione consequatur ullam.
At eius aut voluptatem est.
Quisquam iste cumque.",other,other;delegation;internal;client
Wesoła Gżegżółka,W4891,12/21/2013,12/18/2013,16003.77,Emil Schaefer PhD,Ipsum quia reprehenderit beatae.,other,client;important;Negligible
Company X,C32679,05-05-2013,26-04-2013,17740.16,Clara Carroll,"Voluptatem doloribus culpa asperiores omnis esse.
Atque sed et et asperiores dignissimos voluptatum libero.
Qui facilis veritatis beatae id.",accepted,client;internal
" Monterail, Inc.",M91904,2014-09-27,2014-09-24,19938.94,Kattie Runolfsdottir Jr.,Est vero provident laborum vel.,other,""
ACME,A40269,2012-11-18,2012-11-09,15922.44,Orval Weissnat,"In sit error explicabo delectus.
Beatae dolore enim facere eum enim quo.
Voluptatibus magni accusamus pariatur at.",other,""
 Company X,C62117,27-07-2014,26-07-2014,17846.0,Andres Emmerich,A in doloremque est eaque laudantium nesciunt.,rejected,delegation;Client
 ACME,A79500,23-03-2013,21-03-2013,14793.13,Lee Koepp,Natus ipsum ut voluptatem dicta.,accepted,important;Delegation;Client;internal
 Ostrzy Entertainment,O273,24-09-2014,18-09-2014,12141.76,April Lebsack,Commodi non in enim voluptatem qui sit ut.,accepted,Other;internal;delegation;client
SB Komputery,S71506,2013-01-10,2013-01-01,19335.32,Chelsey Ebert,"Unde saepe et optio officia voluptate consequatur.
Inventore minus doloremque.",accepted,Delegation;internal;negligible
BP Biznes,B57036,14-07-2014,11-07-2014,19639.68,Ms. Brandon Renner,Et iure quibusdam enim dolor.,rejected,""
Company X,C22147,14-11-2014,14-11-2014,13219.91,Bridgette Kertzmann,Odit repellendus quam quas eligendi fuga est.,accepted,""
KT Koty,K7413,11/02/2013,10/28/2013,18548.97,Pink Trantow,Iste in ipsum cupiditate.,rejected,Other;negligible;important;Client
Microsoft,M41705,01/30/2015,01/25/2015,10146.73,Jadon Bechtelar,Consequatur sed enim dicta earum quam quasi.,accepted,Delegation;Negligible;Important;Other;internal
 Wesoła Gżegżółka,W42677,2013-09-15,2013-09-12,19889.93,Diana Botsford,"Sunt temporibus qui quibusdam aliquid.
Vel molestias accusantium enim pariatur.
Veritatis iusto amet et et.",rejected,""
